code_insee,commune,prix_m2_maison,prix_m2_appartement,nb_ventes_maison,nb_ventes_appartement,source,updated_at
"88","88",2814.29,4732.14,750,3989,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"4","4",2690.37,4687.50,1132,2266,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"555","555",3415.21,3380.00,606,2723,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"118","118",3093.39,5849.33,826,2387,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"63","63",3874.15,4456.19,1058,2124,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"7","7",3195.40,3098.39,1329,1742,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"1","1",2105.53,4285.71,1051,1555,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"109","109",3097.35,3920.24,727,1866,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"172","172",2797.26,3400.00,698,1800,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"69","69",3113.21,3410.34,1086,1409,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"29","29",2612.90,4742.50,702,1610,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"19","19",2464.10,2621.62,900,1297,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"113","113",2325.54,3273.44,710,1467,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"3","3",2554.17,3436.12,1007,1086,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"194","194",2493.49,2864.78,1070,986,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"10","10",2554.35,3833.33,749,1272,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"115","115",2093.39,8837.84,566,1433,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"350","350",2660.38,3981.50,563,1387,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"32","32",2415.69,2850.14,872,1056,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"33","33",2078.77,3354.84,845,1075,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"137","137",2726.50,2812.50,566,1321,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"185","185",1772.61,2431.03,578,1293,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"85","85",2388.89,2250.00,755,1105,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"218","218",2250.46,1486.49,567,1197,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"117","117",2340.91,9294.12,486,1271,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"12","12",2302.75,7073.33,625,1105,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"189","189",2523.81,2485.51,694,1013,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"56","56",2525.00,2511.43,646,1060,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"136","136",2089.09,1857.14,679,1009,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"108","108",2545.09,3725.54,791,894,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"116","116",2254.40,10255.56,526,1109,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"238","238",2995.10,3727.78,520,1092,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"231","231",2372.26,2777.78,474,1121,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"129","129",2566.67,3500.05,869,705,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"61","61",2043.48,3846.15,728,823,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"9","9",2852.11,5125.00,775,775,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"114","114",2631.58,8230.38,637,906,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"18","18",2504.42,3165.23,863,650,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"65","65",2491.41,3130.56,825,687,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"191","191",2098.08,3298.86,830,664,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"119","119",2001.90,6584.93,522,970,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"21","21",2197.38,3220.18,824,667,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"281","281",2366.20,3257.58,683,796,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"31","31",2010.49,2707.04,731,730,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"51","51",2377.38,6693.99,698,756,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"112","112",2113.64,8130.47,513,926,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"50","50",2814.81,3277.68,755,666,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"261","261",2547.21,3000.00,518,899,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"15","15",2352.94,3951.61,855,559,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"24","24",2225.49,5344.87,620,786,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"103","103",2318.84,4258.87,627,774,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"351","351",2383.79,2484.88,501,898,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"121","121",2288.46,2500.00,671,718,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"122","122",2456.44,4272.49,714,672,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"5","5",3000.00,3480.56,833,536,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"120","120",2168.46,8076.92,472,890,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"8","8",2531.65,3771.43,665,695,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"202","202",2415.16,2850.00,533,823,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"11","11",2469.23,2750.00,627,726,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"46","46",2599.10,4634.75,732,614,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"47","47",2754.22,2881.85,870,460,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"27","27",2701.50,4264.71,610,707,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"14","14",2102.27,2500.00,641,676,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"208","208",2525.69,3910.78,481,834,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"157","157",2251.76,2740.48,654,612,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"44","44",2261.90,7000.00,519,735,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"540","540",2882.35,2960.53,283,967,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"266","266",2379.33,3394.47,304,940,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"28","28",2235.29,3821.43,595,639,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
