code_insee,commune,prix_m2_maison,prix_m2_appartement,nb_ventes_maison,nb_ventes_appartement,source,updated_at
01001,L'Abergement-Clemenciat,2544,,40,0,DVF statistiques,2026-03-02T16:05:01.891Z
01002,L'Abergement-de-Varey,1760,,15,0,DVF statistiques,2026-03-02T16:05:01.891Z
01004,Amberieu-en-Bugey,2591,2299,542,469,DVF statistiques,2026-03-02T16:05:01.891Z
01005,Amberieux-en-Dombes,3072,2569,102,52,DVF statistiques,2026-03-02T16:05:01.892Z
01006,Ambleon,1609,1544,12,1,DVF statistiques,2026-03-02T16:05:01.892Z
01007,Ambronay,2284,1881,146,9,DVF statistiques,2026-03-02T16:05:01.892Z
01008,Ambutrix,2305,,40,0,DVF statistiques,2026-03-02T16:05:01.892Z
01009,Andert-et-Condon,2207,1195,24,6,DVF statistiques,2026-03-02T16:05:01.892Z
01010,Anglefort,2135,2852,60,18,DVF statistiques,2026-03-02T16:05:01.892Z
01011,Apremont,1954,1767,11,3,DVF statistiques,2026-03-02T16:05:01.892Z
01012,Aranc,1613,,31,0,DVF statistiques,2026-03-02T16:05:01.892Z
01013,Arandas,1406,894,17,1,DVF statistiques,2026-03-02T16:05:01.892Z
01014,Arbent,2053,1284,77,35,DVF statistiques,2026-03-02T16:05:01.892Z
01015,Arboys en Bugey,1767,,38,0,DVF statistiques,2026-03-02T16:05:01.892Z
01016,Arbigny,1742,,21,0,DVF statistiques,2026-03-02T16:05:01.892Z
01017,Argis,1221,1001,58,10,DVF statistiques,2026-03-02T16:05:01.892Z
01019,Armix,1551,,2,0,DVF statistiques,2026-03-02T16:05:01.892Z
01021,Ars-sur-Formans,2895,3262,55,17,DVF statistiques,2026-03-02T16:05:01.892Z
01022,Artemare,1815,1549,80,5,DVF statistiques,2026-03-02T16:05:01.892Z
01023,Asnieres-sur-Saone,1397,,5,0,DVF statistiques,2026-03-02T16:05:01.892Z
01024,Attignat,2282,2016,138,23,DVF statistiques,2026-03-02T16:05:01.892Z
01025,Bage-Dommartin,2115,1814,181,6,DVF statistiques,2026-03-02T16:05:01.892Z
01026,Bage-le-Chatel,2105,2957,45,6,DVF statistiques,2026-03-02T16:05:01.892Z
01027,Balan,3336,2438,78,23,DVF statistiques,2026-03-02T16:05:01.892Z
01028,Baneins,2639,3070,42,1,DVF statistiques,2026-03-02T16:05:01.892Z
01029,Beaupont,1558,,49,0,DVF statistiques,2026-03-02T16:05:01.892Z
01030,Beauregard,2419,2053,36,36,DVF statistiques,2026-03-02T16:05:01.892Z
01031,Bellignat,2160,1420,67,113,DVF statistiques,2026-03-02T16:05:01.892Z
01032,Beligneux,3063,2747,85,62,DVF statistiques,2026-03-02T16:05:01.892Z
01033,Valserhone,2862,2318,427,851,DVF statistiques,2026-03-02T16:05:01.892Z
01034,Belley,2047,2106,328,337,DVF statistiques,2026-03-02T16:05:01.892Z
01035,Belleydoux,2140,302,10,1,DVF statistiques,2026-03-02T16:05:01.892Z
01036,Valromey-sur-Seran,1676,1691,102,1,DVF statistiques,2026-03-02T16:05:01.892Z
01037,Benonces,1532,,26,0,DVF statistiques,2026-03-02T16:05:01.892Z
01038,Beny,1946,,45,0,DVF statistiques,2026-03-02T16:05:01.892Z
01039,Beon,1896,,26,0,DVF statistiques,2026-03-02T16:05:01.892Z
01040,Bereziat,1768,,20,0,DVF statistiques,2026-03-02T16:05:01.892Z
01041,Bettant,2018,1956,53,3,DVF statistiques,2026-03-02T16:05:01.893Z
01042,Bey,2513,,15,0,DVF statistiques,2026-03-02T16:05:01.893Z
01043,Beynost,3852,3467,206,114,DVF statistiques,2026-03-02T16:05:01.893Z
01044,Billiat,2808,1614,30,4,DVF statistiques,2026-03-02T16:05:01.893Z
01045,Birieux,2329,2424,9,4,DVF statistiques,2026-03-02T16:05:01.893Z
01046,Biziat,2126,,63,0,DVF statistiques,2026-03-02T16:05:01.893Z
01047,Blyes,3044,2741,65,3,DVF statistiques,2026-03-02T16:05:01.893Z
01049,La Boisse,3465,2600,155,26,DVF statistiques,2026-03-02T16:05:01.893Z
01050,Boissey,1845,,27,0,DVF statistiques,2026-03-02T16:05:01.893Z
01051,Bolozon,1262,,13,0,DVF statistiques,2026-03-02T16:05:01.893Z
01052,Bouligneux,2501,,10,0,DVF statistiques,2026-03-02T16:05:01.893Z
01053,Bourg-en-Bresse,2321,1989,635,2528,DVF statistiques,2026-03-02T16:05:01.893Z
01054,Bourg-Saint-Christophe,2947,,76,0,DVF statistiques,2026-03-02T16:05:01.893Z
01056,Boyeux-Saint-Jerome,1238,175,25,1,DVF statistiques,2026-03-02T16:05:01.893Z
01057,Boz,2148,,35,0,DVF statistiques,2026-03-02T16:05:01.893Z
01058,Bregnier-Cordon,2015,1416,58,3,DVF statistiques,2026-03-02T16:05:01.893Z
01060,Brenod,1344,626,30,8,DVF statistiques,2026-03-02T16:05:01.893Z
01061,Brens,2320,1907,64,5,DVF statistiques,2026-03-02T16:05:01.893Z
01062,Bressolles,3004,3266,42,2,DVF statistiques,2026-03-02T16:05:01.893Z
01063,Brion,2184,2111,17,6,DVF statistiques,2026-03-02T16:05:01.893Z
01064,Briord,2082,2175,78,1,DVF statistiques,2026-03-02T16:05:01.893Z
01065,Buellas,2403,2337,65,2,DVF statistiques,2026-03-02T16:05:01.893Z
01066,La Burbanche,1321,,18,0,DVF statistiques,2026-03-02T16:05:01.893Z
01067,Ceignes,1763,,6,0,DVF statistiques,2026-03-02T16:05:01.893Z
01068,Cerdon,1209,706,54,3,DVF statistiques,2026-03-02T16:05:01.893Z
01069,Certines,2361,1808,62,12,DVF statistiques,2026-03-02T16:05:01.893Z
01071,Cessy,5109,4776,193,336,DVF statistiques,2026-03-02T16:05:01.893Z
01072,Ceyzeriat,2388,2456,165,63,DVF statistiques,2026-03-02T16:05:01.893Z
01073,Ceyzerieu,1949,,60,0,DVF statistiques,2026-03-02T16:05:01.893Z
01074,Chalamont,3179,2136,90,43,DVF statistiques,2026-03-02T16:05:01.893Z
01075,Chaleins,2924,2270,74,15,DVF statistiques,2026-03-02T16:05:01.893Z
01076,Chaley,1047,702,20,1,DVF statistiques,2026-03-02T16:05:01.893Z
01077,Challes-la-Montagne,1909,471,17,1,DVF statistiques,2026-03-02T16:05:01.893Z
01078,Challex,4332,4489,63,26,DVF statistiques,2026-03-02T16:05:01.893Z
01079,Champagne-en-Valromey,1845,,37,0,DVF statistiques,2026-03-02T16:05:01.893Z
01080,Champdor-Corcelles,1522,,31,0,DVF statistiques,2026-03-02T16:05:01.893Z
01081,Champfromier,2301,1723,37,11,DVF statistiques,2026-03-02T16:05:01.893Z
01082,Chanay,2310,1910,32,6,DVF statistiques,2026-03-02T16:05:01.893Z
01083,Chaneins,2853,2285,53,3,DVF statistiques,2026-03-02T16:05:01.893Z
01084,Chanoz-Chatenay,2144,2071,51,1,DVF statistiques,2026-03-02T16:05:01.893Z
01085,La Chapelle-du-Chatelard,2229,,19,0,DVF statistiques,2026-03-02T16:05:01.893Z
01087,Charix,1803,,16,0,DVF statistiques,2026-03-02T16:05:01.893Z
01088,Charnoz-sur-Ain,3307,3191,42,19,DVF statistiques,2026-03-02T16:05:01.893Z
01089,Chateau-Gaillard,2419,2352,98,3,DVF statistiques,2026-03-02T16:05:01.893Z
01090,Chatenay,2412,,20,0,DVF statistiques,2026-03-02T16:05:01.893Z
01092,Chatillon-la-Palud,2469,2300,105,7,DVF statistiques,2026-03-02T16:05:01.893Z
01093,Chatillon-sur-Chalaronne,2791,2379,168,178,DVF statistiques,2026-03-02T16:05:01.893Z
01094,Chavannes-sur-Reyssouze,1731,,53,0,DVF statistiques,2026-03-02T16:05:01.893Z
01095,Nivigne et Suran,1521,1166,52,3,DVF statistiques,2026-03-02T16:05:01.893Z
01096,Chaveyriat,2129,1903,48,3,DVF statistiques,2026-03-02T16:05:01.894Z
01098,Chazey-Bons,2197,1469,64,6,DVF statistiques,2026-03-02T16:05:01.894Z
01099,Chazey-sur-Ain,2642,2318,72,7,DVF statistiques,2026-03-02T16:05:01.894Z
01100,Cheignieu-la-Balme,1709,,13,0,DVF statistiques,2026-03-02T16:05:01.894Z
01101,Chevillard,1526,,5,0,DVF statistiques,2026-03-02T16:05:01.895Z
01102,Chevroux,1858,,49,0,DVF statistiques,2026-03-02T16:05:01.895Z
01103,Chevry,4844,4532,105,92,DVF statistiques,2026-03-02T16:05:01.895Z
01104,Chezery-Forens,2026,1642,29,6,DVF statistiques,2026-03-02T16:05:01.895Z
01105,Civrieux,3489,2938,79,27,DVF statistiques,2026-03-02T16:05:01.895Z
01106,Cize,1481,,15,0,DVF statistiques,2026-03-02T16:05:01.895Z
01107,Cleyzieu,1422,,9,0,DVF statistiques,2026-03-02T16:05:01.895Z
01108,Coligny,1573,1130,85,11,DVF statistiques,2026-03-02T16:05:01.895Z
01109,Collonges,3888,3753,142,99,DVF statistiques,2026-03-02T16:05:01.895Z
01110,Colomieu,1387,,10,0,DVF statistiques,2026-03-02T16:05:01.895Z
01111,Conand,1501,,25,0,DVF statistiques,2026-03-02T16:05:01.895Z
01112,Condamine,1986,,26,0,DVF statistiques,2026-03-02T16:05:01.895Z
01113,Condeissiat,2049,1353,45,2,DVF statistiques,2026-03-02T16:05:01.895Z
01114,Confort,2967,1600,22,4,DVF statistiques,2026-03-02T16:05:01.895Z
01115,Confrancon,1990,1823,63,11,DVF statistiques,2026-03-02T16:05:01.895Z
01116,Contrevoz,1793,1532,42,5,DVF statistiques,2026-03-02T16:05:01.895Z
01117,Conzieu,1915,,6,0,DVF statistiques,2026-03-02T16:05:01.895Z
01118,Corbonod,2628,2672,69,13,DVF statistiques,2026-03-02T16:05:01.895Z
01121,Corlier,1115,,4,0,DVF statistiques,2026-03-02T16:05:01.895Z
01123,Cormoranche-sur-Saone,2132,,66,0,DVF statistiques,2026-03-02T16:05:01.895Z
01124,Cormoz,1692,,62,0,DVF statistiques,2026-03-02T16:05:01.895Z
01125,Corveissiat,1423,1783,67,2,DVF statistiques,2026-03-02T16:05:01.895Z
01127,Courmangoux,1613,,28,0,DVF statistiques,2026-03-02T16:05:01.895Z
01128,Courtes,1694,,27,0,DVF statistiques,2026-03-02T16:05:01.895Z
01129,Crans,2481,,13,0,DVF statistiques,2026-03-02T16:05:01.895Z
01130,Bresse Vallons,1928,1789,101,3,DVF statistiques,2026-03-02T16:05:01.895Z
01133,Cressin-Rochefort,2179,1417,19,1,DVF statistiques,2026-03-02T16:05:01.895Z
01134,Crottet,2161,1343,82,5,DVF statistiques,2026-03-02T16:05:01.895Z
01135,Crozet,4895,4453,91,51,DVF statistiques,2026-03-02T16:05:01.895Z
01136,Cruzilles-les-Mepillat,2189,,48,0,DVF statistiques,2026-03-02T16:05:01.895Z
01138,Culoz,1998,1642,150,61,DVF statistiques,2026-03-02T16:05:01.895Z
01139,Curciat-Dongalon,1356,,41,0,DVF statistiques,2026-03-02T16:05:01.895Z
01140,Curtafond,2270,,47,0,DVF statistiques,2026-03-02T16:05:01.895Z
01141,Cuzieu,2064,,38,0,DVF statistiques,2026-03-02T16:05:01.895Z
01142,Dagneux,3141,2913,174,85,DVF statistiques,2026-03-02T16:05:01.895Z
01143,Divonne-les-Bains,6458,5748,244,762,DVF statistiques,2026-03-02T16:05:01.895Z
01145,Dompierre-sur-Veyle,2278,3426,65,3,DVF statistiques,2026-03-02T16:05:01.895Z
01146,Dompierre-sur-Chalaronne,2383,2917,27,1,DVF statistiques,2026-03-02T16:05:01.895Z
01147,Domsure,1662,1044,29,1,DVF statistiques,2026-03-02T16:05:01.895Z
01148,Dortan,2115,1483,59,7,DVF statistiques,2026-03-02T16:05:01.895Z
