code_insee,commune,loyer_m2_maison,loyer_m2_appartement,nb_obs_maison,nb_obs_appartement,source,updated_at
01004,Ambérieu-en-Bugey,11,12,381,1882,Loyers (données publiques),2026-03-03T09:22:09.139Z
01024,Attignat,,11,0,211,Loyers (données publiques),2026-03-03T09:22:09.139Z
01025,Bâgé-Dommartin,10,,102,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
01026,Bâgé-le-Châtel,,11,0,133,Loyers (données publiques),2026-03-03T09:22:09.139Z
01031,Bellignat,,11,0,224,Loyers (données publiques),2026-03-03T09:22:09.139Z
01032,Béligneux,,16,0,150,Loyers (données publiques),2026-03-03T09:22:09.139Z
01033,Valserhône,16,19,140,2838,Loyers (données publiques),2026-03-03T09:22:09.139Z
01034,Belley,11,12,200,1199,Loyers (données publiques),2026-03-03T09:22:09.139Z
01043,Beynost,14,14,107,212,Loyers (données publiques),2026-03-03T09:22:09.139Z
01049,La Boisse,,14,0,125,Loyers (données publiques),2026-03-03T09:22:09.139Z
01053,Bourg-en-Bresse,11,12,448,8133,Loyers (données publiques),2026-03-03T09:22:09.139Z
01071,Cessy,,21,0,794,Loyers (données publiques),2026-03-03T09:22:09.139Z
01072,Ceyzériat,9,11,110,215,Loyers (données publiques),2026-03-03T09:22:09.139Z
01074,Chalamont,,11,0,234,Loyers (données publiques),2026-03-03T09:22:09.139Z
01078,Challex,,20,0,119,Loyers (données publiques),2026-03-03T09:22:09.139Z
01093,Châtillon-sur-Chalaronne,12,12,186,984,Loyers (données publiques),2026-03-03T09:22:09.139Z
01103,Chevry,,21,0,188,Loyers (données publiques),2026-03-03T09:22:09.139Z
01108,Coligny,,9,0,186,Loyers (données publiques),2026-03-03T09:22:09.139Z
01109,Collonges,,18,0,213,Loyers (données publiques),2026-03-03T09:22:09.139Z
01135,Crozet,,23,0,135,Loyers (données publiques),2026-03-03T09:22:09.139Z
01138,Culoz-Béon,,11,0,301,Loyers (données publiques),2026-03-03T09:22:09.139Z
01142,Dagneux,,15,0,192,Loyers (données publiques),2026-03-03T09:22:09.139Z
