id,job_type,label,unit,metier_propose,nature_prix_proposee,multiplicateur_couches_applicable,gamme_proposee,niveau_doute,notes_auto,price_min_unit_ht,price_max_unit_ht,fixed_min_ht,fixed_max_ht,variability_ratio,confidence,sample_size,notes,commentaire_julien
592,bardage_bois_exterieur,Bardage bois extérieur (fourni+posé),m2,bardage_exterieur,fourniture_pose,false,—,auto,,55,140,0,0,,null,0,Base,
593,bardage_composite_exterieur,Bardage composite extérieur (fourni+posé),m2,bardage_exterieur,fourniture_pose,false,—,auto,,50,125,0,0,,null,0,Base,
969,bardage_hpl_haut_gamme,Bardage HPL haut de gamme (fourni+posé),m2,bardage_exterieur,fourniture_pose,false,premium,auto,,95,180,0,0,,null,0,Type Trespa/Fundermax. Hors ossature.,
970,bardage_meleze_naturel,Bardage mélèze naturel (fourni+posé),m2,bardage_exterieur,fourniture_pose,false,—,auto,,75,150,0,0,,null,0,"Sans traitement, classe 3-4. Hors ossature.",
594,bardage_pvc_exterieur,Bardage PVC extérieur (fourni+posé),m2,bardage_exterieur,fourniture_pose,false,—,auto,,35,88,0,0,,null,0,Base,
373,pose_bardage_bois,Pose bardage bois,m2,bardage_exterieur,fourniture_pose,false,—,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),55,115,0,0,,null,0,Estimation,
374,pose_bardage_composite,Pose bardage composite,m2,bardage_exterieur,fourniture_pose,false,—,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),72,148,0,0,,null,0,Estimation,
839,carrelage_exterieur_antiderapant,Carrelage extérieur antidérapant (fourni+posé),m2,carrelage_faience,fourniture_pose,false,—,auto,,40,110,0,0,,null,0,Base,
434,pose_carrelage_sol_global_30m2,Carrelage sol 30m² (MO),forfait,carrelage_faience,pose_seule,false,—,auto,,0,0,1072,2228,,null,0,Estimation,
768,faience_salle_de_bain,Faïence salle de bain (fourni+posé),m2,carrelage_faience,fourniture_pose,false,—,auto,,45,120,0,0,,null,0,Base,
481,pose_faience_sdb_20m2,Faïence SDB 20m² (MO),forfait,carrelage_faience,pose_seule,false,—,auto,,0,0,845,1755,,null,0,null,
482,pose_faience_sdb_30m2,Faïence SDB 30m² (MO),forfait,carrelage_faience,pose_seule,false,—,auto,,0,0,1268,2632,,null,0,null,
104,joint_carrelage,Joints carrelage,m2,carrelage_faience,fourniture_pose,false,—,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),6,20,0,0,,null,0,null,
893,nez_de_marche,Nez de marche bois ou alu (fourni+posé),unite,carrelage_faience,fourniture_pose,false,—,auto,,30,90,0,0,,null,0,Base,
379,pose_carreaux_ciment,Pose carreaux de ciment,m2,carrelage_faience,fourniture_pose,false,—,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),62,128,0,0,,null,0,Estimation,
14,carrelage_grand_format,Pose carrelage grand format,m2,carrelage_faience,fourniture_pose,false,premium,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),35,120,0,0,,null,0,Plus technique,
572,carrelage_hexagonal_pose,Pose carrelage hexagonal sol / mosaïque,m2,carrelage_faience,fourniture_pose,false,—,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),55,135,0,0,,null,0,Base,
652,carrelage_imitation_bois_pose,Pose carrelage imitation bois (plank 20x120),m2,carrelage_faience,fourniture_pose,false,—,auto,nature_prix=fourniture_pose par défaut (pas de marqueur explicite — à confirmer),40,105,0,0,,null,0,Base,
