id,job_type,label,unit,price_min_unit_ht,price_avg_unit_ht,price_max_unit_ht,fixed_min_ht,fixed_avg_ht,fixed_max_ht,variability_ratio,confidence,sample_size,source,notes,room_specific,required_room,generic_family
1,abattage_arbre,Abattage arbre,forfait,0.00,0.00,0.00,350.00,900.00,2500.00,null,null,0,seed_manual,Selon accès/diamètre,false,null,abattage_arbre
466,piscine_abri,Abri piscine (fourni+posé),forfait,0.00,0.00,0.00,5525.00,8500.00,11475.00,null,null,0,seed_manual,Selon hauteur,false,null,piscine_abri
956,clim_accessoires,"Accessoires climatisation (liaisons, supports, finitions)",forfait,0.00,0.00,0.00,150.00,350.00,700.00,null,null,0,seed_manual,"Liaisons frigorigènes, supports muraux, décors",false,null,clim_accessoires
516,accessoires_piscine,"Accessoires piscine (quincaillerie, chimie, PVC)",forfait,0.00,0.00,0.00,400.00,900.00,2000.00,null,null,0,seed_manual,Base,false,null,accessoires_piscine
806,aerogomage_poutres,Aérogommage poutres apparentes,ml,15.00,28.00,45.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,aerogomage_poutres
757,agglo_beton_moellon,Agglo béton / moellon (fourni+posé),m3,200.00,300.00,420.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,agglo_beton_moellon
3,ajout_disjoncteur,Ajout disjoncteur,mod,40.00,80.00,160.00,0.00,0.00,0.00,null,null,0,seed_manual,Module tableau,false,null,ajout_disjoncteur
92,interrupteur,Ajout interrupteur,unité,50.00,90.00,150.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,interrupteur
2,ajout_differentiel,Ajout interrupteur différentiel,mod,60.00,140.00,260.00,0.00,0.00,0.00,null,null,0,seed_manual,30mA,false,null,ajout_differentiel
188,prise,Ajout prise,unité,60.00,100.00,160.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,prise
290,prise_rj45,Ajout prise RJ45,unité,57.00,95.00,133.00,0.00,0.00,0.00,null,null,0,seed_manual,Câblage selon distance,false,null,prise_rj45
291,prise_tv,Ajout prise TV,unité,51.00,85.00,119.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,prise_tv
